epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2011,0.50551,0.34114,0.80706,0.99817,0.9982,0.99447,0.88785,0.51584,0.31946,0.7691,0.000549755,0.000549755,0.000549755
2,45.2895,0.54007,0.35098,0.8127,0.99648,0.99708,0.99456,0.90208,0.52453,0.32028,0.77152,0.000995985,0.000995985,0.000995985
3,58.2362,0.54899,0.35045,0.81213,0.99834,0.99884,0.99457,0.87455,0.57408,0.33642,0.7741,0.00133219,0.00133219,0.00133219
4,71.1911,0.51887,0.33025,0.81036,0.99758,0.99898,0.9944,0.88846,0.56881,0.32214,0.79024,0.0011719,0.0011719,0.0011719
5,84.1748,0.48447,0.314,0.80361,0.99834,0.99799,0.99465,0.93028,0.42385,0.28338,0.75124,0.00100687,0.00100687,0.00100687
6,97.3285,0.45597,0.30149,0.79917,0.99841,0.99957,0.99464,0.93825,0.40131,0.26859,0.74738,0.000841835,0.000841835,0.000841835
7,110.531,0.42897,0.28457,0.79642,0.99841,0.99979,0.99463,0.93096,0.41341,0.26152,0.75112,0.000676802,0.000676802,0.000676802
8,123.891,0.40355,0.27145,0.79266,0.9983,0.99952,0.99458,0.94299,0.37592,0.248,0.7423,0.000511769,0.000511769,0.000511769
9,137.059,0.3892,0.26426,0.79064,0.99832,0.99959,0.9946,0.94642,0.37741,0.2507,0.74224,0.000346736,0.000346736,0.000346736
10,150.389,0.36377,0.25324,0.78716,0.99839,0.99965,0.99466,0.95806,0.3398,0.23484,0.73971,0.000181703,0.000181703,0.000181703
