epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2708,1.48334,2.26326,1.0824,0.86704,0.93159,0.94882,0.61219,1.23758,1.38254,0.9358,0.000549755,0.000549755,0.000549755
2,58.9595,1.12331,0.75562,0.9455,0.97915,0.98619,0.99251,0.73325,1.01799,0.59092,0.88308,0.000995985,0.000995985,0.000995985
3,77.5229,1.01676,0.6088,0.92319,0.99205,0.98883,0.99432,0.76681,0.91939,0.54462,0.85416,0.00133219,0.00133219,0.00133219
4,96.0813,0.95714,0.55642,0.91535,0.99086,0.98498,0.99407,0.77892,0.87323,0.50549,0.83739,0.0011719,0.0011719,0.0011719
5,114.557,0.83745,0.50228,0.88109,0.99778,0.99731,0.99463,0.82565,0.74215,0.43539,0.81118,0.00100687,0.00100687,0.00100687
6,133.184,0.77909,0.47103,0.86802,0.99809,0.99836,0.99467,0.82953,0.71813,0.43143,0.80401,0.000841835,0.000841835,0.000841835
7,151.872,0.69776,0.43938,0.84605,0.99834,0.9987,0.99474,0.85763,0.63526,0.39075,0.78781,0.000676802,0.000676802,0.000676802
8,170.501,0.62181,0.41212,0.83215,0.99893,0.99897,0.99479,0.86436,0.60158,0.37057,0.77812,0.000511769,0.000511769,0.000511769
9,189.067,0.57878,0.39496,0.82371,0.99902,0.99906,0.99476,0.89002,0.51765,0.34964,0.76559,0.000346736,0.000346736,0.000346736
10,207.626,0.52255,0.37787,0.81258,0.99912,0.99903,0.99476,0.90822,0.45372,0.32801,0.75501,0.000181703,0.000181703,0.000181703
