epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7034,2.94195,4.33067,2.12346,0.84923,0.52451,0.74382,0.49378,2.45793,3.12402,1.83741,0.000549755,0.000549755,0.000549755
2,101.439,2.21482,1.55975,1.84086,0.8907,0.90385,0.9593,0.69573,2.14969,1.20683,1.74718,0.000995985,0.000995985,0.000995985
3,119.623,2.03074,1.24089,1.79379,0.92925,0.91069,0.97398,0.73604,1.9747,1.0035,1.72809,0.00133219,0.00133219,0.00133219
4,137.636,1.82879,1.07788,1.74294,0.93477,0.93976,0.98464,0.77493,1.74014,0.86592,1.67394,0.0011719,0.0011719,0.0011719
5,164.123,1.70769,0.99223,1.72126,0.94635,0.95753,0.98884,0.80111,1.58418,0.76484,1.64605,0.00100687,0.00100687,0.00100687
6,189.55,1.55072,0.91946,1.68695,0.96455,0.96709,0.99152,0.82945,1.43222,0.72154,1.6064,0.000841835,0.000841835,0.000841835
7,211.745,1.38604,0.83141,1.65871,0.9691,0.9607,0.99171,0.84773,1.24197,0.63457,1.57484,0.000676802,0.000676802,0.000676802
8,229.804,1.2411,0.77058,1.63136,0.97253,0.96986,0.99268,0.87886,1.09813,0.57411,1.55608,0.000511769,0.000511769,0.000511769
9,248.164,1.14411,0.73105,1.61688,0.97241,0.96448,0.99236,0.89603,0.9824,0.5467,1.53929,0.000346736,0.000346736,0.000346736
10,266.646,1.05498,0.69821,1.6045,0.97132,0.9742,0.99293,0.90935,0.88786,0.51414,1.5312,0.000181703,0.000181703,0.000181703
