epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.48,1.53649,1.82873,1.12022,0.87053,0.93473,0.93578,0.61234,1.24567,0.8083,0.95845,0.000549755,0.000549755,0.000549755
2,76.7882,1.0983,0.6853,0.9343,0.98652,0.98106,0.99407,0.74348,0.99533,0.64304,0.87313,0.000995985,0.000995985,0.000995985
3,89.7507,0.97784,0.57824,0.90511,0.98763,0.99499,0.99402,0.75005,0.97915,0.58102,0.8703,0.00133219,0.00133219,0.00133219
4,102.697,0.9075,0.52332,0.89033,0.99356,0.98621,0.99439,0.76672,0.90503,0.50048,0.85212,0.0011719,0.0011719,0.0011719
5,115.666,0.81241,0.48039,0.86668,0.99734,0.99757,0.99475,0.82106,0.75257,0.42947,0.81185,0.00100687,0.00100687,0.00100687
6,128.691,0.73652,0.44515,0.85149,0.99813,0.99815,0.99472,0.8352,0.70734,0.39663,0.80014,0.000841835,0.000841835,0.000841835
7,141.76,0.67328,0.41645,0.83881,0.99897,0.99856,0.99481,0.8641,0.61653,0.37073,0.78613,0.000676802,0.000676802,0.000676802
8,154.767,0.62043,0.39457,0.82841,0.99829,0.99898,0.99475,0.86987,0.60375,0.358,0.77901,0.000511769,0.000511769,0.000511769
9,167.958,0.5834,0.37963,0.82063,0.99858,0.99901,0.99476,0.88848,0.53198,0.33561,0.76914,0.000346736,0.000346736,0.000346736
10,181.31,0.54064,0.36476,0.81397,0.99835,0.99877,0.99478,0.89884,0.50599,0.33106,0.76803,0.000181703,0.000181703,0.000181703
